movie_id,genre
1010012,Comedy
1010003,Adventure
1010003,Crime
1010003,Drama
1010003,Action
1008073,Family
1008073,Comedy
1010002,Comedy
1006015,Romance
1006015,Action
1006015,Comedy
1010004,Comedy
1010194,Drama
2037603,Documentary
2037601,Documentary
2037604,Documentary
2037604,Musical
2037604,History
1001055,War
1002243,Drama
1002243,Comedy
1010164,Drama
1010868,War
1010868,Romance
1010868,Drama
2034677,War
2034677,Romance
2034677,Drama
1010122,Comedy
1010176,Drama
1010176,Romance
1010176,Comedy
1167625,Comedy
1010177,Drama
1010230,Drama
1011269,Comedy
1011269,Romance
1427091,Comedy
1427091,Romance
1427091,Fantasy
1001538,Comedy
1010051,Romance
1010051,Family
1010151,Romance
1010151,Comedy
1010151,Thriller
1010203,Romance
1010203,Thriller
1010203,Drama
1010203,Musical
1010203,Crime
1010146,Thriller
1010146,Drama
1010168,Family
1010168,Adventure
1010168,Comedy
2037608,Documentary
2037608,History
1011621,Drama
1011621,Romance
1011621,Short
1604051,Musical
1001090,Comedy
1002068,Comedy
1001528,Romance
1001528,Family
1007744,Comedy
1010947,Comedy
1010947,Drama
1010235,Thriller
1010235,Drama
1010235,Family
1010235,Comedy
1011451,Romance
1011451,Comedy
1011451,Drama
2037602,Documentary
2037602,War
1000626,Comedy
1010715,Drama
1010926,Drama
1010155,Drama
1010155,Romance
1157889,Drama
1157889,Family
1000225,Comedy
1000982,Thriller
1000982,Drama
1282775,Comedy
1968741,Family
1968741,Comedy
1001576,Drama
2068703,Documentary
1010295,Comedy
1010295,Drama
1010123,Thriller
1010123,Drama
1010123,Family
1010123,Comedy
1137998,Drama
1007402,Comedy
1005518,Action
1005518,Thriller
1010101,Comedy
1010213,Comedy
1002085,Comedy
1002085,Drama
1009977,Drama
1006048,Drama
1006048,Romance
1010200,Comedy
2027117,History
2027117,Religious
1003449,Drama
1010027,Comedy
1010027,Drama
1010027,Romance
1010027,Fantasy
2056987,Family
2056987,Fantasy
2056987,Adventure
2056982,Drama
2056982,Fantasy
2056982,Adventure
1594780,History
1594780,Drama
1007076,Comedy
1010840,Romance
1010840,Drama
1005536,Drama
1010968,Drama
1010968,Comedy
1010233,Drama
1010233,Romance
1005536,Drama
1010145,Adventure
1010145,Comedy
1010627,Drama
1010739,Comedy
