movie_id,authority,rating









2066560,Egypt,All Ages





1007698,elCinema.com,Adult Supervision
1005823,elCinema.com,Adult Supervision
1003537,elCinema.com,Adult Supervision

1010901,elCinema.com,Adult Supervision
1004564,Egypt,All Ages

1010792,Egypt,All Ages

1285463,Egypt,All Ages
1010465,Egypt,All Ages
1010584,Egypt,All Ages
1010300,Egypt,All Ages
1754953,elCinema.com,Adult Supervision


1011227,Egypt,All Ages
1002681,elCinema.com,Adult Supervision
1000031,Egypt,All Ages
1010242,Egypt,All Ages
1011228,elCinema.com,Family (all ages)
1010403,Egypt,All Ages
1010574,Egypt,+18
1001757,Egypt,All Ages



1008084,MPAA,PG
1908961,elCinema.com,Adult Supervision

1010829,Egypt,All Ages
1010216,elCinema.com,Family (all ages)
1010646,Egypt,All Ages

1005772,Egypt,All Ages


1003273,elCinema.com,Family (all ages)




1000642,Egypt,All Ages

1004913,Egypt,All Ages
1883053,Egypt,All Ages
1000737,Egypt,All Ages



1003782,Egypt,All Ages
1788295,elCinema.com,Family (all ages)
1006600,Egypt,All Ages
1526714,Egypt,All Ages
1410349,elCinema.com,Family (all ages)


1000120,elCinema.com,Family (all ages)
1010148,elCinema.com,Adult Supervision


1005996,Egypt,All Ages
1010803,elCinema.com,Adult Supervision







1735345,Egypt,All Ages

2026114,Egypt,All Ages





1000139,Egypt,All Ages



2005091,Egypt,All Ages


1010087,MPAA,Unrated


1003854,elCinema.com,Family (all ages)
1011137,Egypt,All Ages
1007442,elCinema.com,Family (all ages)
